SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539332,NAVKARCORP  ,A ,Q,150.00,153.85,147.05,151.80,151.80,152.05,263,517825,78924313.00,
539333,PENPEBS     ,B ,Q,80.70,80.70,77.30,78.75,78.75,81.70,96,22516,1769625.00,
539334,SHREEPUSHK  ,B ,Q,206.95,209.55,201.20,203.05,203.00,213.50,763,53750,10989167.00,
539336,GUJGAS      ,A ,Q,815.00,858.00,811.00,830.75,840.00,831.85,252,5181,4291731.00,
539346,SADBHIN     ,B ,Q,124.40,126.00,119.30,124.35,125.65,125.70,284,50494,6176619.00,
539351,PRABHAT     ,B ,Q,152.00,153.75,147.00,150.30,150.30,155.95,431,25658,3847798.00,
539354,POLYSPIN    ,X ,Q,113.05,118.00,113.05,118.00,118.00,119.00,4,6291,721090.00,
539359,PRITIKAUTO  ,XT,Q,186.05,186.05,178.00,185.00,186.00,186.05,61,10788,1980819.00,
539363,SKC         ,M ,Q,139.90,142.90,120.00,125.45,128.00,138.65,13,13000,1718150.00,
539391,ACME        ,X ,Q,19.60,21.45,19.50,21.45,21.45,20.50,7,2982,58159.00,
539399,BELLACASA   ,B ,Q,166.10,201.95,166.10,196.15,199.55,185.55,17,550,107173.00,
539400,MALLCOM     ,X ,Q,261.00,289.30,261.00,285.00,285.00,273.00,8,56,15149.00,
539402,VAL         ,M ,Q,17.00,17.50,17.00,17.50,17.50,18.00,4,188000,3208000.00,
539404,SATIN       ,B ,Q,375.00,378.55,356.05,374.10,375.00,376.40,154,10053,3703766.00,
539407,GENCON      ,X ,Q,240.05,240.50,234.00,235.45,234.00,240.05,136,44593,10561073.00,
539408,KUBERJI     ,XT,Q,4.14,4.20,3.95,4.11,4.15,4.15,29,11811,48463.00,
539410,SIENERGY    ,XT,Q,8.70,9.40,8.70,8.70,8.70,9.07,10,12860,113160.00,
539428,TEJNAKSH    ,M ,Q,449.00,453.00,423.85,442.00,442.00,441.00,8,3200,1412340.00,
539436,COFFEEDAY   ,B ,Q,298.00,300.15,295.00,298.50,297.05,303.10,282,11830,3527215.00,
539437,IDFCBANK    ,A ,Q,48.85,48.85,47.45,47.75,47.75,49.10,5364,898887,42925411.00,
539447,BEARDSELL   ,B ,Q,48.20,50.95,47.30,48.35,48.20,51.95,15,856,41178.00,
